date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:17	8049/8049	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Dec%202021%2001:54:50%20GMT	https://www.weeassur.fr/images/shape/shape-c.png	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/shape/shape-c.png	(from https://www.weeassur.fr/)
15:03:18	48128/48128	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Dec%202021%2001:54:51%20GMT	https://www.weeassur.fr/images/shape/shape-d.png	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/shape/shape-d.png	(from https://www.weeassur.fr/)
15:03:18	4297/4297	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Dec%202021%2001:55:01%20GMT	https://www.weeassur.fr/images/shape/shape-e.png	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/shape/shape-e.png	(from https://www.weeassur.fr/)
15:03:18	27739/27739	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Dec%202021%2001:29:03%20GMT	https://www.weeassur.fr/images/hero/suivez-nous.png	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/hero/suivez-nous.png	(from https://www.weeassur.fr/)
15:03:18	27345/27345	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Feb%202022%2009:44:09%20GMT	https://www.weeassur.fr/images/hero/suivez-nous-insta.png	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/hero/suivez-nous-insta.png	(from https://www.weeassur.fr/)
15:03:19	110985/110985	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Dec%202021%2001:49:58%20GMT	https://www.weeassur.fr/images/service/Slider1%20-%20Assurance%20Auto%202%20roues.png	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/service/Slider1%20-%20Assurance%20Auto%202%20roues.png	(from https://www.weeassur.fr/)
15:03:19	136642/136642	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Dec%202021%2001:50:21%20GMT	https://www.weeassur.fr/images/service/Slider2%20-%20Assurance%20temporaire.png	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/service/Slider2%20-%20Assurance%20temporaire.png	(from https://www.weeassur.fr/)
15:03:19	111314/111314	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Dec%202021%2002:29:32%20GMT	https://www.weeassur.fr/images/service/Slider3%20-%20Assurance%20Habitation.png	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/service/Slider3%20-%20Assurance%20Habitation.png	(from https://www.weeassur.fr/)
15:03:19	83280/83280	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Dec%202021%2001:49:59%20GMT	https://www.weeassur.fr/images/service/Slider4%20-%20Assurance%20commerces%20et%20pro.png	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/service/Slider4%20-%20Assurance%20commerces%20et%20pro.png	(from https://www.weeassur.fr/)
15:03:19	103701/103701	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Dec%202021%2001:50:00%20GMT	https://www.weeassur.fr/images/service/Slider5%20-%20Assurance%20Sante%20et%20Prevoyance.png	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/service/Slider5%20-%20Assurance%20Sante%20et%20Prevoyance.png	(from https://www.weeassur.fr/)
15:03:19	81456/81456	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Dec%202021%2001:50:01%20GMT	https://www.weeassur.fr/images/service/Slider6%20-%20Cartes%20grises.png	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/service/Slider6%20-%20Cartes%20grises.png	(from https://www.weeassur.fr/)
15:03:20	5170/5170	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Dec%202021%2002:11:16%20GMT	https://www.weeassur.fr/images/icons/development.svg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/icons/development.svg	(from https://www.weeassur.fr/)
15:03:20	12893/12893	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Dec%202021%2001:30:45%20GMT	https://www.weeassur.fr/images/icons/ecommerce.svg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/icons/ecommerce.svg	(from https://www.weeassur.fr/)
15:03:20	6032/6032	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Dec%202021%2001:29:35%20GMT	https://www.weeassur.fr/images/icons/app.svg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/icons/app.svg	(from https://www.weeassur.fr/)
15:03:20	11585/11585	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Dec%202021%2001:38:30%20GMT	https://www.weeassur.fr/images/icons/tech.svg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/icons/tech.svg	(from https://www.weeassur.fr/)
15:03:20	10144/10144	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Dec%202021%2001:34:17%20GMT	https://www.weeassur.fr/images/icons/seo.svg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/icons/seo.svg	(from https://www.weeassur.fr/)
15:03:21	8097/8097	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Dec%202021%2001:31:35%20GMT	https://www.weeassur.fr/images/icons/graphic.svg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/icons/graphic.svg	(from https://www.weeassur.fr/)
15:03:21	5593/5593	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Dec%202021%2001:36:01%20GMT	https://www.weeassur.fr/images/icons/smo.svg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/icons/smo.svg	(from https://www.weeassur.fr/)
15:03:21	21215/21215	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2002:14:16%20GMT	https://www.weeassur.fr/images/partner/logo%20Active.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Active.jpg	(from https://www.weeassur.fr/)
15:03:21	25171/25171	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:40:15%20GMT	https://www.weeassur.fr/images/partner/logo%20Aleade.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Aleade.jpg	(from https://www.weeassur.fr/)
15:03:22	25496/25496	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2002:14:19%20GMT	https://www.weeassur.fr/images/partner/logo%20Apivia.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Apivia.jpg	(from https://www.weeassur.fr/)
15:03:23	18007/18007	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:40:47%20GMT	https://www.weeassur.fr/images/partner/logo%20April.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20April.jpg	(from https://www.weeassur.fr/)
15:03:23	18550/18550	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:40:39%20GMT	https://www.weeassur.fr/images/partner/logo%20Assur%20Travel.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Assur%20Travel.jpg	(from https://www.weeassur.fr/)
15:03:23	21919/21919	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2002:14:19%20GMT	https://www.weeassur.fr/images/partner/logo%20Assurances%20Unies.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Assurances%20Unies.jpg	(from https://www.weeassur.fr/)
15:03:23	26557/26557	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:20%20GMT	https://www.weeassur.fr/images/partner/logo%20Aviva.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Aviva.jpg	(from https://www.weeassur.fr/)
15:03:24	22060/22060	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:46:37%20GMT	https://www.weeassur.fr/images/partner/logo%20Axa.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Axa.jpg	(from https://www.weeassur.fr/)
15:03:24	22356/22356	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2002:37:31%20GMT	https://www.weeassur.fr/images/partner/logo%20Balcia.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Balcia.jpg	(from https://www.weeassur.fr/)
15:03:24	29115/29115	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:24%20GMT	https://www.weeassur.fr/images/partner/logo%20Euro%20Dommages.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Euro%20Dommages.jpg	(from https://www.weeassur.fr/)
15:03:24	33214/33214	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:21%20GMT	https://www.weeassur.fr/images/partner/logo%20Generali.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Generali.jpg	(from https://www.weeassur.fr/)
15:03:24	13777/13777	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:33%20GMT	https://www.weeassur.fr/images/partner/logo%20Groupama.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Groupama.jpg	(from https://www.weeassur.fr/)
15:03:25	15283/15283	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:24%20GMT	https://www.weeassur.fr/images/partner/logo%20Hdi.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Hdi.jpg	(from https://www.weeassur.fr/)
15:03:25	15468/15468	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:36%20GMT	https://www.weeassur.fr/images/partner/logo%20La%20Parisienne.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20La%20Parisienne.jpg	(from https://www.weeassur.fr/)
15:03:25	15242/15242	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:31%20GMT	https://www.weeassur.fr/images/partner/logo%20Maxance.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Maxance.jpg	(from https://www.weeassur.fr/)
15:03:25	20285/20285	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:31%20GMT	https://www.weeassur.fr/images/partner/logo%20Neoliane.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Neoliane.jpg	(from https://www.weeassur.fr/)
15:03:25	14802/14802	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:31%20GMT	https://www.weeassur.fr/images/partner/logo%20Netvox.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Netvox.jpg	(from https://www.weeassur.fr/)
15:03:26	13852/13852	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:43%20GMT	https://www.weeassur.fr/images/partner/logo%20Novelia.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Novelia.jpg	(from https://www.weeassur.fr/)
15:03:26	16877/16877	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:58%20GMT	https://www.weeassur.fr/images/partner/logo%20Qbe.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Qbe.jpg	(from https://www.weeassur.fr/)
15:03:26	17328/17328	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:44%20GMT	https://www.weeassur.fr/images/partner/logo%20Solly%20Azar.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Solly%20Azar.jpg	(from https://www.weeassur.fr/)
15:03:26	20485/20485	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:59%20GMT	https://www.weeassur.fr/images/partner/logo%20Swisslife.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Swisslife.jpg	(from https://www.weeassur.fr/)
15:03:27	19420/19420	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:45:54%20GMT	https://www.weeassur.fr/images/partner/logo%20Wazari.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Wazari.jpg	(from https://www.weeassur.fr/)
15:03:27	15543/15543	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2001:41:45%20GMT	https://www.weeassur.fr/images/partner/logo%20Zephir.jpg	C:/Users/TARMOUN/OneDrive/Desktop/My%20First%20Assurance/MyFirstAssurance/www.weeassur.fr/images/partner/logo%20Zephir.jpg	(from https://www.weeassur.fr/)
